CRASH,CRASH_COST,KIDSDRIV,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,SEX,EDUCATION,JOB,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CAR_AGE,URBANICITY
0,0,0,60,0,11,67349.38162,No,0,No,M,PhD,Professional,13.95058624,Private,14230,11,Minivan,yes,4461,2,No,3,18,Highly Urban/ Urban
0,0,0,43,0,11,91449.25464,No,257251.6354,No,M,High School,Blue Collar,21.94320893,Commercial,14940,1,Minivan,yes,0,0,No,0,1,Highly Urban/ Urban
0,0,0,35,1,10,16038.5871,No,124190.7529,Yes,F,High School,Clerical,5,Private,4010,4,SUV,no,38690,2,No,3,10,Highly Urban/ Urban
1,2946,0,34,1,12,125301.2425,Yes,0,No,F,Bachelors,Blue Collar,45.70301258,Commercial,17430,1,Sports Car,no,0,0,No,0,7,Highly Urban/ Urban
1,2501,0,34,0,10,62977.82416,No,0,No,F,Bachelors,Clerical,33.63994919,Private,11200,1,SUV,no,0,0,No,0,1,Highly Urban/ Urban
0,0,0,50,0,7,106951.5401,No,0,No,M,Bachelors,Professional,47.93152894,Commercial,18510,7,Van,no,0,0,No,1,17,Highly Rural
1,6077,0,53,0,14,77099.96624,No,0,No,F,Masters,Lawyer,15.41567565,Private,18300,1,Sports Car,no,0,0,No,0,11,Highly Urban/ Urban
0,0,0,43,0,5,52642.09523,No,209969.8701,Yes,F,Masters,Professional,35.62176263,Private,22420,7,Minivan,no,0,0,No,0,1,Highly Rural
0,0,0,55,0,11,59162.32016,No,180231.9899,Yes,M,Bachelors,Manager,24.69503515,Commercial,17600,7,Van,yes,5028,2,Yes,3,9,Highly Urban/ Urban
1,2920.16732,0,45,0,0,0,No,106859.3699,Yes,F,<High School,Home Maker,48.36019147,Private,6000,1,SUV,no,0,0,No,3,5,Highly Urban/ Urban
0,0,0,39,3,12,51884.11128,Yes,180950.8347,No,F,Bachelors,Clerical,43.11028862,Private,10590,6,SUV,no,0,0,No,0,13,Highly Rural
0,0,0,42,0,11,59944.83769,No,192207.4365,Yes,M,Masters,Lawyer,42.38538864,Private,14190,6,Minivan,no,0,0,No,0,16,Highly Urban/ Urban
0,0,0,34,3,13,34019.45037,No,91875.18631,Yes,F,Masters,Lawyer,27.38466856,Private,8300,7,SUV,no,0,0,No,0,20,Highly Urban/ Urban
0,0,0,31,2,12,18902.50245,No,93797.38905,Yes,F,<High School,Clerical,47.55963455,Private,17330,4,Minivan,no,0,0,No,0,7,Highly Urban/ Urban
1,6857,0,28,1,13,44077.28897,No,170597.8046,Yes,F,High School,Blue Collar,29.48024404,Commercial,8710,6,SUV,no,8935,2,No,0,1,Highly Urban/ Urban
0,0,0,48,0,14,96274.01971,No,282904.4197,Yes,F,Masters,Lawyer,36.1809267,Private,11130,6,SUV,no,8250,1,No,5,14,Highly Urban/ Urban
0,0,0,47,0,11,46281.0036,No,0,No,F,<High School,Blue Collar,29.01285285,Private,19700,10,Minivan,no,0,0,No,1,5,Highly Urban/ Urban
0,0,2,44,2,0,0,No,82343.5475,Yes,F,High School,Home Maker,8.073275223,Private,5900,6,SUV,no,3338,3,No,0,11,Highly Urban/ Urban
0,0,0,33,1,13,79606.24445,No,225962.4832,Yes,F,Bachelors,Professional,27.00054836,Private,16830,9,SUV,no,0,0,No,2,15,Highly Rural
1,4486,0,32,1,9,31274.72352,No,118160.4786,Yes,F,High School,Clerical,26.39296083,Private,10030,1,SUV,no,0,0,No,0,1,Highly Urban/ Urban
0,0,1,44,2,17,45488.14625,No,219378.0587,Yes,M,Bachelors,Manager,15.83954883,Private,22090,17,Minivan,no,0,0,No,0,12,Highly Urban/ Urban
0,0,0,35,0,8,72192.6669,No,0,No,F,Bachelors,Clerical,25.98731284,Private,12220,6,SUV,no,0,0,No,3,12,Highly Urban/ Urban
0,0,0,49,0,5,49243.56864,No,163444.4867,Yes,M,Bachelors,Clerical,30.13011991,Private,15880,1,Minivan,no,0,0,No,1,1,Highly Urban/ Urban
0,0,0,52,0,8,51277.52893,No,230339.5386,Yes,F,Bachelors,Professional,36.91782133,Private,1500,4,SUV,no,0,0,No,1,10,Highly Urban/ Urban
0,0,0,39,0,10,35081.4222,No,202839.4863,Yes,M,Bachelors,Blue Collar,37.82723225,Commercial,16640,4,Van,yes,0,0,No,0,13,Highly Urban/ Urban
0,0,0,56,0,0,0,No,63826.52723,Yes,F,PhD,Home Maker,64.99909878,Private,13220,1,Minivan,no,0,0,No,0,12,Highly Rural
0,0,0,49,0,12,115044.3555,No,311980.123,No,F,PhD,Doctor,17.73508239,Private,17900,1,Minivan,no,0,0,No,0,14,Highly Urban/ Urban
0,0,0,38,0,11,37753.57313,No,138822.8511,Yes,F,High School,Clerical,46.68134109,Private,12080,1,SUV,no,0,0,No,2,9,Highly Rural
0,0,0,63,0,15,121398.2642,No,343409.954,Yes,F,PhD,Doctor,10.14058187,Private,16270,1,SUV,no,0,0,No,0,11,Highly Urban/ Urban
0,0,0,52,0,0,0,No,87925.39124,No,F,High School,Student,48.0740963,Commercial,9280,1,SUV,no,0,0,No,1,6,Highly Rural
0,0,0,35,0,7,14508.13637,No,0,Yes,M,Bachelors,Student,22.04226929,Commercial,6450,1,Pickup,no,0,0,No,0,7,Highly Urban/ Urban
0,0,0,43,0,13,75337.94059,No,270555.3347,Yes,F,Bachelors,Manager,40.23202125,Private,23080,1,Sports Car,no,0,0,No,0,8,Highly Urban/ Urban
0,0,0,41,0,10,32773.64307,No,0,No,F,High School,Clerical,43.77669787,Private,20120,4,Minivan,no,0,0,No,0,1,Highly Rural
0,0,0,40,0,11,57474.08872,No,186417.7395,Yes,M,Bachelors,Clerical,5,Commercial,29270,4,Panel Truck,yes,0,0,No,1,5,Highly Urban/ Urban
0,0,0,31,1,12,26519.97586,No,154493.4031,Yes,M,Bachelors,Student,62.25635134,Commercial,4600,6,Minivan,yes,0,0,No,2,5,Highly Urban/ Urban
0,0,0,39,3,7,34046.37814,No,183383.2163,Yes,F,High School,Clerical,33.30315605,Private,4040,6,SUV,no,0,0,No,0,5,Highly Rural
0,0,0,33,3,14,32364.46146,No,152893.7224,Yes,M,<High School,Clerical,39.93090522,Private,12270,18,Minivan,yes,0,0,No,3,1,Highly Urban/ Urban
1,6100,0,40,0,11,16988.72135,No,0,No,M,<High School,Blue Collar,20.45001583,Commercial,12230,4,Pickup,yes,26104,1,Yes,13,6,Highly Urban/ Urban
